Timestamp	Your Sex	Your Sexual Orientation	Your Religious Beliefs	Who you're in a Relationship with	What you like to Discuss	People in your Family	Where you live	Places of Interest to you	Pets you Own	Your Hobbies/Interests/Fetishes	Most Sensitive Combination of Information	Your Religious Beliefs
10/13/2015 15:35:18	5	2	1	7	7	8	9	9	8	7	Sex, Your Relationships, Your Family Members, Where you Live, Places of Interest	
10/13/2015 15:53:06	1	1	1	1	1	1	1	1	1	1	Hey kids, please be dear*	
10/13/2015 15:55:05	2	3	3	1	2	5	3	1	1	1	Your Family Members, Where you Live	
10/13/2015 15:58:56	4	8	2	10	8	10	10	5	4	10	Sex, Sexual Orientation, Your Relationships, Your Family Members, Where you Live, Hobbies/Interest/Fetishes	
10/13/2015 16:00:30	1	3	1	5	1	5	3	1	1	4	Your Relationships, Your Family Members, Where you Live	
10/13/2015 16:11:39	1	1	1	3	3	6	1	1	1	6	Your Family Members	
10/13/2015 16:13:20	3	2	5	10	2	7	8	6	2	6	Religious Beliefs, Your Relationships, Your Family Members, Where you Live	
10/13/2015 16:16:23	1	1	1	2	3	2	3	1	1	4	Where you Live, Hobbies/Interest/Fetishes	
10/13/2015 16:16:39	4	7	6	5	3	2	2	2	2	2	Your Relationships, Your Family Members, Where you Live	
10/13/2015 16:17:58	1	10	5	5	5	10	5	5	5	10		
10/13/2015 16:18:28	1	1	5	8	5	8	8	1	3	5	Your Relationships, Your Family Members, Where you Live	
10/13/2015 16:18:56	1	10	1	10	1	10	5	3	1	1	Sexual Orientation, Your Relationships	
10/13/2015 16:20:40	1	1	4	9	4	9	6	6	1	5	Religious Beliefs, Your Relationships, Your Family Members, Where you Live, Places of Interest, Hobbies/Interest/Fetishes	
10/13/2015 16:21:35	1	1	1	4	1	7	10	7	1	7	Your Relationships	
10/13/2015 16:22:14	10	10	8	5	6	10	10	10	10	10	Sex, Sexual Orientation, Your Relationships, Your Family Members, Places of Interest, Hobbies/Interest/Fetishes	
10/13/2015 16:27:51	5	10	10	10	10	10	10	10	10	10	Sexual Orientation, Religious Beliefs, Your Relationships, Your Family Members, Your Pets, Where you Live, Places of Interest, What you like to Discuss, Hobbies/Interest/Fetishes	
10/13/2015 16:28:35	7	3	2	9	1	4	2	2	3	2	Sex, Your Relationships, Where you Live	
10/13/2015 16:29:24	5	10	10	10	2	5	1	3	3	3	Religious Beliefs, Your Relationships, Your Family Members	
10/13/2015 16:31:55	1	1	6	10	1	1	1	1	1	1	Religious Beliefs, Your Relationships	
10/13/2015 16:34:36	3	3	4	6	3	7	8	7	3	4	Sex, Your Relationships, Your Family Members, Where you Live, Places of Interest	
10/13/2015 16:38:16	1	1	1	10	9	10	10	9	1	9	Sex, Sexual Orientation, Your Relationships, Your Family Members, Where you Live, Places of Interest, What you like to Discuss, Hobbies/Interest/Fetishes	
10/13/2015 16:40:42	1	10	1	1	10	10	6		7	1	Your Family Members, Your Pets	
10/13/2015 16:47:11	6	2	1	3	5	8	8	5	4	5	Sex, Your Family Members, Where you Live	
10/13/2015 16:51:19	1	1	8	10	4	10	4	6	4	5		
10/13/2015 16:54:15	1	1	7	9	1	10	6	1	7	1	Your Relationships, Your Family Members, Where you Live	
10/13/2015 16:58:36	2	4	7	10	1	10	7	1	8	1	Sex, Religious Beliefs, Your Relationships, Your Family Members, Your Pets, Where you Live	
10/13/2015 17:17:13	6	1	1	10	4	10	9	6	6	3	Your Relationships	
10/13/2015 17:26:18	4	7	3	9	3	10	3	3	1	5	Sexual Orientation, Your Relationships, Your Family Members	
10/13/2015 17:26:56	2	2	8	8	9	9	9	9	6	9	Sex, Religious Beliefs, Your Relationships, Where you Live, Places of Interest	
10/13/2015 17:30:34	1	1	1	1	3	7	10	10	1	1	Sex, Sexual Orientation, Your Relationships, Your Family Members, Your Pets, Where you Live	
10/13/2015 17:35:21	1	1	1	10	1	10	10	5	10	8	Your Relationships, Your Family Members, Where you Live	
10/13/2015 17:41:19	1	3	3	4	4	7	4	4	1	3	Sexual Orientation, Religious Beliefs	
10/13/2015 18:32:15	1	1	5	10	6	7	1	6	4	10	Your Relationships, Your Family Members	
10/13/2015 18:50:55	1	5	1	1	3	7	8	5	1	2	Your Relationships, Your Family Members, Where you Live	
10/13/2015 19:03:25	5	3	4	7	6	9	8	6	6	7	Sex, Your Relationships, Your Family Members, Where you Live, Hobbies/Interest/Fetishes	
10/13/2015 19:10:03	3	1	2	2	3	2	1	2	1	3	Sex, What you like to Discuss, Hobbies/Interest/Fetishes	
10/13/2015 19:13:43	3	3	3	3	3	3	3	3	3	3	Places of Interest, Hobbies/Interest/Fetishes	
10/13/2015 19:19:28	5	5	5	10	10	10	10	10	10	10	Sex, Sexual Orientation, Religious Beliefs, Your Relationships, Your Family Members, Your Pets, Where you Live, Places of Interest, What you like to Discuss, Hobbies/Interest/Fetishes	
10/13/2015 19:21:22	8	7	6	6	5	8	10	5	6	5	Sex, Sexual Orientation, Your Relationships, Your Family Members, Where you Live, Places of Interest	
10/13/2015 19:38:13	5	2	2	5	4	9	10	4	6	7	Sex, Your Relationships, Your Family Members, Your Pets, Where you Live	
10/13/2015 19:40:36	1	1	1	1	1	1	1	1	1	1		
10/13/2015 19:59:57	7	4	3	7	6	8	7	7	7	6	Sex, Sexual Orientation, Your Relationships, Your Family Members, Where you Live, What you like to Discuss	
10/13/2015 21:09:33	1	1	1	8	1	8	9	2	1	1	Your Relationships, Your Family Members, Where you Live	
10/13/2015 21:14:19	1	1	1	10	10	10	5	10	8	10	Your Relationships, Your Family Members, Hobbies/Interest/Fetishes	
10/13/2015 21:23:08	3	5	4	6	4	5	7	5	5	6	Sexual Orientation, Your Relationships, Your Family Members, Where you Live	
10/13/2015 21:29:17	5	4	1	10	8	10	10	8	10	9	Your Relationships, Your Family Members, Your Pets, Where you Live, Places of Interest, What you like to Discuss, Hobbies/Interest/Fetishes	
10/13/2015 21:42:47	1	1	3	5	1	1	2	1	1	1	Religious Beliefs, Your Relationships, Where you Live	
10/13/2015 21:47:02	9	1	6	3	6	8	10	7	1	8	Sex, Your Relationships, Your Family Members, Where you Live, Hobbies/Interest/Fetishes	
10/13/2015 22:32:21	1	1	1	1	1	1	1	1	1	1	Your Family Members	
10/13/2015 22:46:28	1	1	5	9	2	9	3	1	1	4	Religious Beliefs, Your Relationships, Your Family Members	
10/13/2015 23:37:07	5	5	1	9	3	9	6	3	1	8	Sex, Sexual Orientation, Your Relationships, Where you Live	
10/13/2015 23:40:22	4	5	5	10	2	10	7	1	1	8	Sex, Your Family Members, What you like to Discuss	
10/14/2015 0:14:47	4	8	3	3	9	9	5	3	3	9	Sex, Religious Beliefs, Your Relationships	
10/14/2015 0:21:32	10	10	5	8	5	10	10	5	5	5	Sex, Sexual Orientation, Religious Beliefs, Your Relationships, Your Family Members, Where you Live	
10/14/2015 1:21:03	1	1	1	5	2	4	6	2	1	3	Sexual Orientation, Your Relationships, Your Family Members, Where you Live, Hobbies/Interest/Fetishes	
10/14/2015 3:06:43	1	5	7	10	8	10	7	5	1	9	Sex, Sexual Orientation, Religious Beliefs, Your Relationships, Your Family Members, Where you Live, Places of Interest, What you like to Discuss, Hobbies/Interest/Fetishes	
10/14/2015 5:08:08	1	1	3	3	2	7	2	1	1	2	Your Relationships, Your Family Members	
10/14/2015 11:28:11	8	8	9	8	3	3	7	3	3	6	Sex, Sexual Orientation, Religious Beliefs, Your Relationships, Hobbies/Interest/Fetishes	